smiles,selfies
CNC=CC1=CC=NC(C=C2C=CCC(Cl)=CC=CC2C)C2NC(C=CC=CN1)CC1CCC2N1,[C][N][C][=C][C][Branch2][Ring1][C][N][C][=C][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][Branch2][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][=C][C][=C][C][=C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][O]
CC1=C(OC=NC2=NC3(NC=C(F)C4C5CN(CCC5C)C4O3)C34CCC(CN2C3)N4)CCN=C1,[C][N][Ring1][C][C][C][C][Branch2][Branch1][C][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][=Branch1][C][Ring1][Branch2][=N][C][Ring2][Ring1][Branch2][=C][Ring1][O][F][=C][Ring2][Ring2][C][=C][Ring2][Ring2]
C=C(CCN=C(COCC12CCCN1CCC2)CC1[CH]CCCN1N)N=CC=CC=CNC,[C][N][C][=C][C][=C][C][=N][C][Branch2][Ring1][#C][C][C][N][=C][Branch1][O][C][C][C@@H1][C][C][C][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][Branch2][=C][Ring2][Ring1][=Branch2]
CNCCC=CC1OC=NC(OC=NCN2CC3CCC(C2)N3)=CC=NC1(C)C=C1C[CH]C=Cc2ccccc21,[C][N][C][C][C][C@H1][Ring1][C@@H1][Branch1][C][O][C][=N][C][Branch1][#Branch2][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=C][C][C@H1][Branch1][#C][C][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][Ring1][Branch1][F][C][Ring2][Ring1][Branch1][F][=C][Ring2][Ring2][Ring1][C][Ring2][S][Ring2]
C=CC=CC=Cc1ccccc1C#CN1CCCC(N=CNC2=CC3=CC=CC=CC(Cl)=C2C3)C1,[C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#C][N][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][N][=C][Ring1][C][=N][C][=C][C][Branch1][C][C][=C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][N][Ring1][=Branch2][Branch1][C][Cl][C][C][N][Ring1][C][=N][Ring2][Ring1][=C][Ring2][Ring2][Ring1][S]
FC1=C2N=C(OCC34CCCN3CCC4)NN3C4CCC(CC(C4)CC23)NC1,[C][N][C][Branch2][C][Branch1][#C][C][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][Branch2][=N][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][N][F]
CF,[C][F][C][=C][Ring1][Branch1][C][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=C][=Branch1][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][N][=C][Branch1][C][O][C][C][C][Ring2][Ring1][=C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring2][Ring2]
CC=c1cccnc1=c1cccc(Cl)c1=CCC(F)N=NCCOCCCOCNC(C=CC=CC=CC=CCN1CC2CCC(C1)N2)=CO,[O][C][=C][Branch2][Ring1][C][C][=C][C][=C][C][=C][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch2][Branch1][C][O][C][C][C][O][C][C][N][=N][C][Branch1][C][F][C][Branch2][Ring1][=Branch2][C][=C][C][Branch1][C][Cl][=C][C][=C][C][Ring1][#Branch1][=C][Ring1][=Branch1][N][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring2]
CCN=CCC1C(NCC2OC(C=O)C[CH]C[CH]NC2F)=NCCCC=CC=C2C[SH]3C=C2C=NC=CC(=C1F)C3,[O][=C][Ring1][=Branch1][=C][Branch1][C][O][C][C@@H1][C][C@@H1][N][C][Branch1][C][F][C][Ring1][=Branch2][Ring1][=N][C][N][C][=N][C][Branch2][=C][C][C][C][C][=C][C][=C][C][S][Branch1][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][Ring1][Branch2][=C][Branch1][C][F][C][Ring2][Ring1][=Branch1][C][#Branch2][Ring2][Ring1][C][=N][C][Ring2][Ring1][=C][C]
NCC1=CC=C2C=CC=CC3(C=NC=CC(=C2)O1)N=C(N=COC(F)C=CO)N1CC2CC3C(C1)N2,[O][C][=C][C][Branch2][Branch1][C][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch2][Ring1][C][C][=N][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Ring1][#Branch1][C][=C][C][=C][Ring1][#Branch2][F][=C][C][=C][C][Ring2][Ring1][=Branch1][=N][Ring2][Ring2][C]
CN1C2=CC=NC(C=Cc3cccc(Cl)c3)C3=CC4C5CC3C(CN4CN=C[C@@H]1CCCCC2)N5,[C][N][C][Branch1][#C][C][C][C][C][C][C@H1][Ring1][Branch2][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][Ring2][C][=C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][O][Ring1][#Branch1][=C][Branch1][C][F][C][Ring2][Ring1][C][=C][Ring2][Ring1][=Branch1]
CC=CC=CC=NC(C=CCF)C=NC=CC(F)(C=O)N1CC2CCC(C1)N2,[C][C][=C][C][=C][C][=N][C][Branch2][Ring2][#C][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][Branch1][C][F][C][O][Ring1][C][=N][C][Branch1][Ring1][N][C][=C][C][=C][NH1][Branch2][Ring1][C][O][Branch1][C][C][F][C][=C][C][F][Ring1][C][C][=C][Ring2][Ring1][P][F][=C][C][Ring2][C][=C][C][Ring2][Branch1][Ring2]
C=CC=CC=CC(=N)C1=C2C(=CCCl)N=CC=CC3=CC(F)N=NC(C=CC=CC=CC=CN4CC5CCC(C4)N5)C(=CC=CC1)C(N=C)=C32,[C][=C][C][=C][C][=C][C][=Branch1][C][=N][C][Branch2][Branch1][Ring1][C][C][=C][C][=C][C][Branch2][Ring1][C][C][=C][C][=C][C][=C][C][=C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][N][=N][C][Branch1][C][F][C][=C][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch1][C][Ring1][O][=C][Ring2][Ring2][Ring1][N][=C][Ring2]
CC1N=C2CCN3C(CCC23)CPC=NC(N2CC3CCC(C2)N3)N=CC=C[C@H]1O,[C][C][C@H1][Branch1][C][O][C][=C][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][N][=C][P][Branch2][Ring1][N][C][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][Branch1][=N][Ring2][Ring1][=N][Cl][=C][Ring2][Ring1][#Branch2][F]
FCN=CNCC1CCOC2CC1N=C=C1[CH]CC(F)C=C1C=NC=CC(N1CC3CCC(C1)N3)=N2,[C][C@@H1][C][C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][O][O][C][C][C][C][N][C][=N][C][Branch1][C][F][C][C][Ring1][=Branch2][N][=C][Ring2][Ring2][Ring2][Ring2][Branch2][Ring2][Ring1][Branch1]
C=CC1=C2C=CC=C(C=NC(O)CCN(C)C(CO)C=NC(F)=C2)O1,[C][=C][C][Branch1][C][O][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][Branch1][C][O][C][C][N][Branch1][C][C][=C][Branch1][Ring1][C][O][C][=N][C][Branch1][#C][F][C][C][C][C][=O][Ring1][Branch1][C][C][C][Ring1][Branch2][N][=C][Ring2][Ring1][Branch1]
C=CN=NCC1C2=CC=C1C(O)N=CC1(CC=CC=C2)N=CN=CC2=CC=CC2(O)N=CO1,[O][C][=N][C][Branch1][C][O][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=N][C][Ring1][P][Branch1][=Branch1][C][=N][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][O][C][#Branch1][=Branch1][C][N][=N][C][=C][Ring1][Branch1][C][F][C][Ring1][C][N][=C][Ring2][Ring1][=C][Ring2][Ring2][Ring1][#Branch1]
CC1O[CH]C2=NC1(F)OC2,[O][C@@H1][C][Branch1][O][C][O][C][Branch1][C][F][C][Ring1][=N][C][=N][Ring1][Branch1][=C][Ring1][=N][F][=C][Ring2][Ring1][C][=C][Ring2][Ring2][#Branch1]
CCCCC1C=NC=CC2=NC(CCCC=CC=N)C=CC=C=[SH]C1(N)C1C3CCC(CN21)N3,[C][C][C][C][C][Branch2][Branch1][C][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][Branch2][C][C][C][C][=C][C][=N][C][=C][C][=C][S][Ring1][C][C][Ring1][P][Ring2][Ring1][=N][N]
NC1C=CC2=CC(O)C=CCC=COC3CC4=CC4=CC=NC3=C21,[C][O][C][=C][C][Branch2][=N][C][C][=C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][=N][C][Ring1][=Branch1][=C][Ring2][Ring1][=Branch2][N][=C][C][=C][C][=C][Ring1][Ring1][=Branch1][=C][Ring2][Ring2][Ring2]
CC=C(N=CC=C(CN=C1Cc2cccccc3oc(ccnc2=3)N1)N1CC2CCC(C1)N2)c1cccc2cccc(Cl)c12,[C][C][=C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][=Branch2][N][=C][C][=C][Ring1][=Branch1][=N][C][Ring2][Ring1][=Branch1][=N][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=C][C][=C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][O][Ring1][#Branch1][=C][C]
FCCCCNC[CH]CCOCN=C(C=CN=CC1=CC=CC=COC1)N1CC2CCC(C1)N2,[C][O][C][=C][C][=C][C][=C][Ring1][Branch2][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][N][O][C][C][C@H1][C][N][Branch1][#C][C][C][C][C][F][Branch1][C][F][C][Ring1][=Branch2][=N][C][Ring1][Branch2][=C][Branch1][Ring2][C][C][Ring1][=Branch2][C][=N][Ring1][P][=C]
CC=CCCC1=C2NC=C3N=C4N=C5CNC4CC(C)(NC)C5CCCN1C(CCF)C=CNC32,[C][N][C][=C][C][Branch2][Ring1][Branch1][C][C][F][C][=C][C][=C][C][=C][C][Branch2][Branch1][C][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][#C][C][N][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][Ring1][#Branch1][N][C][=N][C][Ring1][Branch2][=N][C][Ring2][Ring1][O][=C][Ring1][C][=N][C][Ring2][Ring1][S][=C][Ring2][Ring1][=Branch1][C][C][C][C][Ring1][C][C]
CN=C(C=CC=C[C]CN=C1C=CNC(c2ccccn2)=NNC(C)=COCCC2=CC=C1C=COC2NCC1=CC=CC=C=CC=C1)OCC1CCN(C)N1,[C][=C][C][=C][=C][C][=C][C][=C][Ring2][Branch2][Ring1][C][NH1][C][O][C][=C][C][=C][C][=C][Ring1][Branch2][C][C][O][C][=C][Branch1][C][C][N][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=N][C][=C][C][Ring2][Ring1][#Branch1][=N][C][C@@][C][=C][C][=C][C][Branch1][#C][O][C][C][C][C][N][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C]
CC1(CF)C=C2N=CCC[C@@H](C[CH]C=NCN3CC4CCC(C3)N4)CCC(=CO)C2=CC1,[O][C][=C][C][Branch2][Branch1][C][C][C@H1][Branch1][O][C][C@H1][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][Branch2][Ring2][#C][C][=N][C][=C][C][Branch1][#Branch2][C][C][=C][Ring2][Ring1][O][Ring1][=Branch1][=N][Branch1][C][C][C][F][Ring1][C][=N][Ring2][Ring1][=C]
CC=CC=CC=CC12C=CC=CC=CC(Cl)C=CC=C1C=CC=NC(F)=CC=CC=CC=NC(Cl)=CC=CC=COC(=CCCCNCC)C=CN=C2,[#C][C][=C][C][=C][C][=C][C][Branch2][Ring2][=C][C][=C][C][=C][C][=C][C][Branch1][NH1][Cl][C][=C][C][=C][Ring1][=N][C][Ring1][=Branch1][=C][C][=N][C][Branch1][C][F][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][Branch1][C][Cl][=C][C][=C][C][=Branch1][C][=C][Ring1][=Branch1][C][=N][C][=C][C][Branch1][Ring1][O][Ring1][#Branch1][#C][C][C][C][N][C][Branch1][C][C]
Cn1cccc1C=NC=CCNCC1CC(CCF)C2=NC(Cl)N=CC=CC=CCN=C2N1,[#N][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][Branch1][Branch1][C][C][F][Ring1][Branch2][N][Ring1][Branch1][C][=N][C][Branch1][C][Cl][N][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch2][N][=C][Ring1][=N][N][Ring2][Ring1][Ring2]
